,x,y,lon,lat,distance,distanceProp,onshelfX,onshelfY,alongshelfX,alongshelfY
0,1437.0,58.0,179.375,75.375,8980.087301066591,0.3120040263639087,-0.2627106835125154,0.9648746533972106,0.981849609679305,0.18966112931382836
1,1436.0,58.0,179.125,75.375,8388.872226315525,0.29146285815639444,-0.2627106835125154,0.9648746533972106,0.987968237399595,0.1546569167206475
2,1435.0,58.0,178.875,75.375,7994.5345540846565,0.27776199564157356,-0.2627106835125154,0.9648746533972106,0.991842831290049,0.12746685066533786
3,1434.0,58.0,178.625,75.375,8059.05926001221,0.28000384111304827,-0.2627106835125154,0.9648746533972106,0.9910563122344556,0.13344431790166864
4,1433.0,58.0,178.375,75.375,7444.590637210959,0.25865475196048454,-0.2627106835125154,0.9648746533972106,-0.9922974661236432,-0.12387791863200308
5,1433.0,57.0,178.375,75.625,474.89047286531166,0.01651569194033667,-0.2627106835125154,0.9648746533972106,0.9926170071295851,0.12129087829307304
6,1432.0,57.0,178.125,75.625,7999.509744248817,0.2782061257464012,-0.2627106835125154,0.9648746533972106,0.9913840509104899,0.13098726503102148
7,1431.0,57.0,177.875,75.625,8819.242442910863,0.30671470508857507,-0.2627106835125154,0.9648746533972106,0.9827063485147965,0.18517082002495772
8,1430.0,57.0,177.625,75.625,9391.805856326466,0.3266272564927421,-0.2627106835125154,0.9648746533972106,0.9762095677878458,0.21682914877725074
9,1429.0,57.0,177.375,75.625,10994.307981138574,0.382358910293761,-0.2627106835125154,0.9648746533972106,0.9570166272904296,0.29003305861513595
10,1428.0,57.0,177.125,75.625,4776.540508731941,0.16611803371580777,-0.2627106835125154,0.9648746533972106,-0.9221572228374865,-0.38681527421839773
11,1428.0,56.0,177.125,75.875,8080.364016276205,0.2812885495089808,-0.2627106835125154,0.9648746533972106,0.9381924404944365,0.346114062989491
12,1427.0,56.0,176.875,75.875,10819.412043504446,0.3766385665456553,-0.2627106835125154,0.9648746533972106,0.9585319213153336,0.2849851852632606
13,1426.0,56.0,176.625,75.875,9810.436440669328,0.3415147425149857,-0.2627106835125154,0.9648746533972106,0.9702612890215379,0.2420599740276443
14,1425.0,56.0,176.375,75.875,6748.084940824988,0.23491008835055113,-0.2627106835125154,0.9648746533972106,-0.9071491741888748,-0.42080919163968195
15,1425.0,55.0,176.375,76.125,28118.025120467668,0.9797557465891661,-0.2627106835125154,0.9648746533972106,0.45082943675914705,0.8926101158688661
16,1425.0,54.0,176.375,76.375,364.61766541719925,0.012716763277726476,-0.2627106835125154,0.9648746533972106,0.9607911518616128,0.2772730829064287
17,1424.0,54.0,176.125,76.375,10387.418736247582,0.3622818027325624,-0.2627106835125154,0.9648746533972106,0.9621245796663327,0.27261014875070727
18,1423.0,54.0,175.875,76.375,7050.898768210673,0.24591406021963627,-0.2627106835125154,0.9648746533972106,0.9970423841070011,0.07685365504793737
19,1422.0,54.0,175.625,76.375,9579.84624914015,0.3341161126900919,-0.2627106835125154,0.9648746533972106,0.9711608289443134,0.2384253432925997
20,1421.0,54.0,175.375,76.375,11091.859378957228,0.3868505654289556,-0.2319860411156134,0.9727191150211376,0.9530400045751173,0.302844431481677
21,1420.0,54.0,175.125,76.375,2496.0687952387184,0.08705534318434976,-0.2319860411156134,0.9727191150211376,-0.9671855228953841,-0.25407117959654985
22,1420.0,53.0,175.125,76.625,6160.046696697463,0.21504170442266227,-0.2319860411156134,0.9727191150211376,0.9849664380047558,0.1727458132755275
23,1420.0,54.0,175.125,76.375,2081.3840199926044,0.07259239028367748,-0.2319860411156134,0.9727191150211376,-0.9849664380047585,-0.1727458132755127
24,1419.0,53.0,174.875,76.625,8117.791669044093,0.2833848252473831,-0.2319860411156134,0.9727191150211376,0.9860436732655682,0.16648685958040532
25,1418.0,53.0,174.625,76.625,8501.056953338219,0.2967642725208642,-0.2319860411156134,0.9727191150211376,0.9819752233118699,0.18900968441220936
26,1417.0,53.0,174.375,76.625,8366.902447803384,0.2920810590735283,-0.2319860411156134,0.9727191150211376,0.9831741385013331,0.18267077867617834
27,1416.0,53.0,174.125,76.625,9429.985798978112,0.3291923452432469,-0.2319860411156134,0.9727191150211376,0.9716345757946181,0.2364873170392284
28,1415.0,53.0,173.875,76.625,2585.416778117457,0.09025458052248128,-0.2319860411156134,0.9727191150211376,-0.9376519259515775,-0.347575697883637
29,1415.0,52.0,173.875,76.875,6949.553504243959,0.24282269033242637,-0.2319860411156134,0.9727191150211376,0.9780720198568953,0.20826695362695735
30,1414.0,52.0,173.625,76.875,9528.352479766187,0.33292788985069893,-0.2319860411156134,0.9727191150211376,0.9700928401128673,0.2427341788083223
31,1413.0,52.0,173.375,76.875,11491.322917051712,0.4015155713950755,-0.2319860411156134,0.9727191150211376,0.9465334366857945,0.3226057241212234
32,1412.0,52.0,173.125,76.875,7684.623813245692,0.26850660655902814,-0.2319860411156134,0.9727191150211376,-0.9232664407366189,-0.3841602262201744
33,1412.0,51.0,173.125,77.125,4092.4707305438315,0.14312167848970095,-0.2319860411156134,0.9727191150211376,0.9671787367032691,0.254097011531164
34,1411.0,51.0,172.875,77.125,9002.40429370021,0.31483162563414335,-0.2319860411156134,0.9727191150211376,0.9750112177571805,0.22215563294154822
35,1410.0,51.0,172.625,77.125,8674.166992877897,0.30335252742434976,-0.2319860411156134,0.9727191150211376,0.9782827710426674,0.2072747449186221
36,1409.0,51.0,172.375,77.125,9770.335044543615,0.3416876608415007,-0.2319860411156134,0.9727191150211376,0.9661452830541812,0.25799862796564693
